,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
63,01/01/2018,27.2,24.33,27.54,24.25,0.131,13.10%,1.1179613645704891
64,12/01/2017,24.05,23.83,24.99,23.14,-0.005,-0.50%,1.009232060428032
65,11/01/2017,24.17,23.98,24.37,23.04,0.0173,1.73%,1.0079232693911593
66,10/01/2017,23.76,23.41,24.75,22.73,0.0215,2.15%,1.0149508756941479
67,09/01/2017,23.26,21.27,23.44,20.34,0.0967,9.67%,1.0935590032910203
68,08/01/2017,21.21,23.05,23.21,20.91,-0.0746,-7.46%,0.9201735357917571
69,07/01/2017,22.92,23.09,23.96,22.25,-0.0043,-0.43%,0.9926375054135991
70,06/01/2017,23.02,22.29,23.05,21.03,0.0483,4.83%,1.0327501121579183
71,05/01/2017,21.96,22.91,24.23,21.91,-0.0377,-3.77%,0.9585333915320821
72,04/01/2017,22.82,23.8,23.91,21.77,-0.047599999999999996,-4.76%,0.9588235294117647
73,03/01/2017,23.96,24.35,26.15,23.48,0.0161,1.61%,0.9839835728952772
74,02/01/2017,23.58,24.87,25.24,23.14,-0.0379,-3.79%,0.948130277442702
75,01/01/2017,24.51,25.11,25.55,23.09,0.002,0.20%,0.97610513739546
76,12/01/2016,24.46,24.14,26.21,23.46,0.0329,3.29%,1.0132560066280034
77,11/01/2016,23.68,18.47,24.17,17.71,0.2912,29.12%,1.282079047103411
78,10/01/2016,18.34,16.0,18.79,15.96,0.1405,14.05%,1.14625
79,09/01/2016,16.08,15.94,17.52,15.19,0.0255,2.55%,1.0087829360100375
80,08/01/2016,15.68,14.94,16.35,14.75,0.0754,7.54%,1.0495314591700133
81,07/01/2016,14.58,14.29,16.28,13.36,-0.0202,-2.02%,1.0202939118264522
82,06/01/2016,14.88,18.3,18.49,14.5,-0.1887,-18.87%,0.8131147540983606
83,05/01/2016,18.34,18.16,18.9,17.05,0.008199999999999999,0.82%,1.0099118942731278
84,04/01/2016,18.19,17.78,19.41,16.85,0.018500000000000003,1.85%,1.0230596175478066
85,03/01/2016,17.86,17.49,20.02,17.28,0.0264,2.64%,1.0211549456832476
86,02/01/2016,17.4,19.3,19.66,15.67,-0.0989,-9.89%,0.9015544041450776
87,01/01/2016,19.31,22.3,22.61,19.11,-0.149,-14.90%,0.8659192825112106
88,12/01/2015,22.69,22.29,23.56,21.32,0.023,2.30%,1.0179452669358457
89,11/01/2015,22.18,21.75,23.77,21.67,0.0311,3.11%,1.0197701149425287
90,10/01/2015,21.51,20.39,21.82,19.06,0.044199999999999996,4.42%,1.0549288867091713
91,09/01/2015,20.6,21.65,23.03,20.47,-0.0636,-6.36%,0.9515011547344112
92,08/01/2015,22.0,21.94,22.93,19.05,-0.0023,-0.23%,1.0027347310847765
93,07/01/2015,22.05,24.18,24.7,21.87,-0.0557,-5.57%,0.9119106699751861
94,06/01/2015,23.35,21.25,24.89,21.06,0.11460000000000001,11.46%,1.0988235294117648
95,05/01/2015,20.95,20.67,23.35,20.58,0.0239,2.39%,1.0135462022254473
96,04/01/2015,20.46,18.92,21.1,18.43,0.0579,5.79%,1.0813953488372092
97,03/01/2015,19.34,20.14,22.59,18.52,-0.034,-3.40%,0.9602780536246276
98,02/01/2015,20.02,16.74,21.52,16.54,0.19519999999999998,19.52%,1.1959378733572283
99,01/01/2015,16.75,21.97,22.13,16.51,-0.2281,-22.81%,0.7624032771961766
100,12/01/2014,21.7,21.57,23.31,20.45,-0.0109,-1.09%,1.00602688919796
101,11/01/2014,21.94,23.25,24.07,21.94,-0.0604,-6.04%,0.9436559139784947
102,10/01/2014,23.35,24.75,24.84,18.68,-0.069,-6.90%,0.9434343434343435
103,09/01/2014,25.08,23.93,26.42,23.82,0.0704,7.04%,1.0480568324279147
104,08/01/2014,23.43,25.82,25.91,23.05,-0.0833,-8.33%,0.907436096049574
105,07/01/2014,25.56,25.5,26.92,24.48,0.0159,1.59%,1.0023529411764704
106,06/01/2014,25.16,25.0,26.59,24.87,0.024,2.40%,1.0064
107,05/01/2014,24.57,26.6,27.0,24.02,-0.0721,-7.21%,0.9236842105263158
108,04/01/2014,26.48,27.43,28.08,25.96,-0.0275,-2.75%,0.965366387167335
109,03/01/2014,27.23,26.12,28.21,25.96,0.0245,2.45%,1.0424961715160797
110,02/01/2014,26.58,26.77,27.81,25.79,-0.0037,-0.37%,0.9929025028016436
111,01/01/2014,26.68,30.28,30.34,26.46,-0.1183,-11.83%,0.8811096433289299
112,12/01/2013,30.26,27.81,30.36,27.59,0.10400000000000001,10.40%,1.0880978065444087
113,11/01/2013,27.41,25.89,28.39,25.72,0.0783,7.83%,1.0587099266125917
114,10/01/2013,25.42,26.46,27.57,24.71,-0.0279,-2.79%,0.9606953892668179
115,09/01/2013,26.15,28.37,29.84,25.99,-0.0487,-4.87%,0.9217483256961578
116,08/01/2013,27.49,26.01,29.2,25.52,0.0602,6.02%,1.0569011918492885
117,07/01/2013,25.93,25.21,27.25,24.51,0.0464,4.64%,1.0285600952003173
