Fecha,Último,Apertura,Máximo,Mínimo,% var.,,,
01.09.2011,0.108,"0,1010","0,1160","0,0710",6.93%,,,
01.09.2012,0.155,"0,1590","0,1910","0,1520",-2.52%,,,
01.09.2013,0.09,"0,1210","0,1300","0,0830",-25.62%,,,
01.09.2014,0.099,"0,0940","0,1240","0,0860",11.24%,,,
01.09.2015,0.316,"0,3800","0,4540","0,3020",-17.28%,,,
01.09.2016,0.593,"0,6080","0,6140","0,5550",-0.50%,,,
01.09.2017,13,12.27,13.33,11.99,6.12%,,,
01.09.2018,25.71,24.45,25.79,24.45,4.73%,,,
01.09.2019,17.68,17.65,18.52,16.97,-0.28%,,,
01.09.2020,0.119,"0,1340","0,1550","0,1120",-2.46%,,,
01.09.2021,0.079,"0,0730","0,0860","0,0660",16.18%,,,
01.09.2022,39.97,35.36,41.09,34.31,14.76%,,,
01.10.2008,13.3,17.59,17.59,"0,9920",-25.49%,,,
01.10.2009,0.352,"0,3820","0,4430","0,3160",-8.33%,,,
01.10.2010,0.209,"0,2530","0,2710","0,1960",-16.73%,,,
01.10.2011,0.108,"0,1080","0,1340","0,0780",0.00%,,,
01.10.2012,0.174,"0,1550","0,1910","0,1530",12.26%,,,
01.10.2013,0.096,"0,0880","0,1290","0,0880",6.67%,,,
01.10.2014,0.099,"0,0980","0,1010","0,0650",0.00%,,,
01.10.2015,0.331,"0,3170","0,3080","0,2070",4.75%,,,
01.10.2016,0.654,"0,6030","0,6850","0,5880",10.29%,,,
01.10.2017,14.29,13.1,14.29,12.89,9.92%,,,
01.10.2018,26.65,25.71,26.71,25.71,3.66%,,,
01.10.2019,15.29,17.65,17.29,15.21,-13.52%,,,
01.10.2020,0.127,"0,1240","0,1420","0,1140",6.72%,,,
01.10.2021,0.127,"0,0810","0,1190","0,0760",60.76%,,,
01.10.2022,46.37,40,47.85,39.05,16.01%,,,
01.11.2008,0.886,13.15,15.24,"0,7950",-33.38%,,,
01.11.2009,0.248,"0,3630","0,3700","0,1700",-29.55%,,,
01.11.2010,0.261,"0,2040","0,2890","0,1960",24.88%,,,
01.11.2011,0.108,"0,1080","0,1210","0,0810",0.00%,,,
01.11.2012,0.168,"0,1760","0,1880","0,1660",-3.45%,,,
01.11.2013,0.119,"0,0950","0,1270","0,0900",23.96%,,,
01.11.2014,0.122,"0,0980","0,1420","0,0930",23.23%,,,
01.11.2015,0.487,"0,3310","0,5080","0,3310",47.13%,,,
01.11.2016,0.78,"0,7800","0,8750","0,6010",19.27%,,,
01.11.2017,16.18,14.29,16.21,14.26,13.23%,,,
01.11.2018,26.91,26.65,27.44,26.55,0.98%,,,
01.11.2019,15.99,15.28,16.78,15.28,4.58%,,,
01.11.2020,0.107,"0,1340","0,1420","0,1010",-15.75%,,,
01.11.2021,0.221,"0,1400","0,1850","0,1190",74.02%,,,
01.11.2022,47.32,46.74,47.63,45.51,2.05%,,,
01.12.2008,0.342,"0,8890","0,8960","0,3020",-61.40%,,,
01.12.2009,0.438,"0,2480","0,4840","0,2360",76.61%,,,
01.12.2010,0.267,"0,2580","0,3170","0,2410",2.30%,,,
01.12.2011,0.108,"0,1080","0,1190","0,0500",0.00%,,,
01.12.2012,0.143,"0,1680","0,1810","0,1230",-14.88%,,,
01.12.2013,0.117,"0,1180","0,1370","0,1100",-1.68%,,,
01.12.2014,0.216,"0,1230","0,2460","0,1150",77.05%,,,
01.12.2015,0.613,"0,4860","0,7050","0,4680",25.87%,,,
01.12.2016,0.818,"0,7770","0,8980","0,7720",4.87%,,,
01.12.2017,17.37,16.15,17.32,16.07,7.35%,,,
01.12.2018,26.01,26.8,26.98,25.75,-3.34%,,,
01.12.2019,15.82,16.45,16.3,15.05,-1.06%,,,
01.12.2020,0.112,"0,1090","0,1220","0,0860",4.67%,,,
01.12.2021,0.384,"0,2690","0,3840","0,2360",73.76%,,,
01.12.2022,47.33,47.84,47.27,45.8,0.02%,,,
